City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hami,CN,87.03,clear sky,42.8,93.45,Laoyutang Resort
7,Hilo,US,81.63,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
8,Beachwood,US,83.52,few clouds,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
9,Hithadhoo,MV,81.99,light rain,-0.6,73.0833,Scoop Guest House
10,Celestun,MX,86.13,few clouds,20.8667,-90.4,Posada Lilia
15,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Tutoia,BR,85.98,scattered clouds,-2.7619,-42.2744,Pousada Guará's
18,Kerema,PG,75.0,few clouds,-7.9631,145.7785,Frena Lodge
20,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
31,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
38,Atuona,PF,78.64,scattered clouds,-9.8,-139.0333,Villa Enata
44,Najran,SA,86.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
49,Jamestown,US,80.19,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Butaritari,KI,83.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
55,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Scicli,IT,83.12,clear sky,36.7902,14.7014,Le Dimore Dei Venti
60,Magdalena,PH,80.24,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
66,Beruwala,LK,78.42,moderate rain,6.4788,79.9828,The Palms Hotel
67,Sainthia,IN,79.79,scattered clouds,23.95,87.6667,Sainthia Airtel Store
69,Gizo,SB,80.94,moderate rain,-8.103,156.8419,Imagination Island
86,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
87,Lorengau,PG,80.6,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Imbituba,BR,75.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
98,Talavera,PH,76.57,overcast clouds,15.6167,120.9333,R&G's Resort
108,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
109,Acarau,BR,81.86,scattered clouds,-2.8856,-40.12,castelo pizzaria
112,Victoria,HK,82.38,light rain,22.2855,114.1577,Mini Hotel Central
115,Katsuura,JP,79.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
117,Freeport,US,86.97,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
119,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
121,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
124,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
125,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
129,Benghazi,LY,79.66,clear sky,32.1167,20.0667,Tibesti Hotel
131,Lazaro Cardenas,MX,85.41,broken clouds,17.9583,-102.2,quinta antigua
