City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inchies),Snow (inchies),Humidity,Cloudiness,Wind Speed,Country,Date
0,Saldanha,-33.0117,17.9442,50.05,clear sky,0.0,0.0,66,8,11.43,ZA,2021-07-24 19:51:57
1,Busselton,-33.65,115.3333,56.08,overcast clouds,0.0,0.0,73,97,15.86,AU,2021-07-24 19:44:39
2,Taoudenni,22.6783,-3.9836,104.61,clear sky,0.0,0.0,7,3,9.42,ML,2021-07-24 19:51:57
3,Hami,42.8,93.45,87.03,clear sky,0.0,0.0,36,0,6.04,CN,2021-07-24 19:51:58
4,Husavik,66.0449,-17.3389,64.31,broken clouds,0.0,0.0,89,56,8.19,IS,2021-07-24 19:44:33
5,Rikitea,-23.1203,-134.9692,69.21,clear sky,0.0,0.0,54,0,0.89,PF,2021-07-24 19:49:27
6,Saskylakh,71.9167,114.0833,57.42,overcast clouds,0.0,0.0,55,100,6.46,RU,2021-07-24 19:51:58
7,Hilo,19.7297,-155.09,81.63,light rain,0.19,0.19,79,75,0.0,US,2021-07-24 19:49:59
8,Beachwood,41.4645,-81.5087,83.52,few clouds,0.0,0.0,72,20,4.0,US,2021-07-24 19:51:59
9,Hithadhoo,-0.6,73.0833,81.99,light rain,0.32,0.32,78,28,11.86,MV,2021-07-24 19:49:29
10,Celestun,20.8667,-90.4,86.13,few clouds,0.0,0.0,68,17,14.05,MX,2021-07-24 19:51:59
11,La Ronge,55.1001,-105.2842,71.85,broken clouds,0.0,0.0,53,75,9.22,CA,2021-07-24 19:52:00
12,Barrow,71.2906,-156.7887,42.82,light rain,0.22,0.22,87,90,0.0,US,2021-07-24 19:49:30
13,Fortuna,40.5982,-124.1573,93.42,clear sky,0.0,0.0,74,1,14.97,US,2021-07-24 19:52:01
14,Bredasdorp,-34.5322,20.0403,45.72,few clouds,0.0,0.0,93,19,4.61,ZA,2021-07-24 19:49:23
15,Kapaa,22.0752,-159.319,82.38,light rain,0.76,0.76,80,75,5.99,US,2021-07-24 19:52:01
16,Tutoia,-2.7619,-42.2744,85.98,scattered clouds,0.0,0.0,71,27,11.21,BR,2021-07-24 19:52:01
17,Souillac,-20.5167,57.5167,70.18,scattered clouds,0.0,0.0,83,40,6.91,MU,2021-07-24 19:49:51
18,Kerema,-7.9631,145.7785,75.0,few clouds,0.0,0.0,89,14,2.55,PG,2021-07-24 19:52:02
19,Kurbnesh,41.7797,20.0836,65.03,clear sky,0.0,0.0,53,0,5.48,AL,2021-07-24 19:52:02
20,Vila Velha,-20.3297,-40.2925,76.96,scattered clouds,0.0,0.0,54,40,11.5,BR,2021-07-24 19:51:51
21,Kruisfontein,-34.0033,24.7314,45.88,clear sky,0.0,0.0,48,2,7.54,ZA,2021-07-24 19:47:51
22,Mahebourg,-20.4081,57.7,70.09,scattered clouds,0.0,0.0,83,40,6.91,MU,2021-07-24 19:52:03
23,Fairbanks,64.8378,-147.7164,61.3,broken clouds,0.0,0.0,89,75,1.99,US,2021-07-24 19:52:04
24,Punta Arenas,-53.15,-70.9167,42.91,broken clouds,0.0,0.0,70,75,14.97,CL,2021-07-24 19:49:27
25,Norman Wells,65.282,-126.8329,64.44,scattered clouds,0.0,0.0,39,40,14.97,CA,2021-07-24 19:52:04
26,Finspang,58.7058,15.7674,72.12,clear sky,0.0,0.0,61,8,4.54,SE,2021-07-24 19:52:05
27,Saint George,37.1041,-113.5841,96.35,clear sky,0.0,0.0,35,1,3.44,US,2021-07-24 19:51:01
28,Mataura,-46.1927,168.8643,41.49,overcast clouds,0.0,0.0,89,100,3.78,NZ,2021-07-24 19:49:30
29,Camacha,33.0833,-16.3333,70.56,scattered clouds,0.0,0.0,78,40,16.11,PT,2021-07-24 19:52:05
30,Candido De Abreu,-24.5669,-51.3333,70.77,clear sky,0.0,0.0,58,0,0.02,BR,2021-07-24 19:52:06
31,Lufilufi,-13.8745,-171.5986,76.78,light rain,0.9,0.9,80,11,18.45,WS,2021-07-24 19:52:06
32,Cape Town,-33.9258,18.4232,54.12,clear sky,0.0,0.0,76,0,1.14,ZA,2021-07-24 19:47:58
33,Linhares,-19.3911,-40.0722,71.8,clear sky,0.0,0.0,55,6,7.99,BR,2021-07-24 19:52:07
34,Albany,42.6001,-73.9662,83.57,broken clouds,0.0,0.0,43,74,3.0,US,2021-07-24 19:47:57
35,Khorinsk,52.1657,109.7726,55.49,clear sky,0.0,0.0,81,10,2.44,RU,2021-07-24 19:52:07
