City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bilibino,RU,2021-07-23 00:31:00,68.0546,166.4372,64.8,34,100,3.65
1,Albany,US,2021-07-23 00:32:14,42.6001,-73.9662,71.64,63,100,9.8
2,Panalingaan,PH,2021-07-23 00:34:42,8.7842,117.4231,84.15,77,100,11.59
3,Thompson,CA,2021-07-23 00:34:44,55.7435,-97.8558,82.56,51,40,8.05
4,Colquiri,BO,2021-07-23 00:34:44,-17.4167,-67.1333,36.36,68,4,4.92
5,Hongjiang,CN,2021-07-23 00:34:45,27.11,109.9956,82.45,81,100,3.2
6,Ushuaia,AR,2021-07-23 00:34:46,-54.8,-68.3,40.66,65,75,3.44
7,Namibe,AO,2021-07-23 00:34:47,-15.1961,12.1522,64.87,81,0,4.56
8,Ballina,AU,2021-07-23 00:34:48,-28.8667,153.5667,58.96,77,75,4.61
9,Kavaratti,IN,2021-07-23 00:34:49,10.5669,72.642,81.59,81,100,25.77
10,Alofi,NU,2021-07-23 00:31:16,-19.0595,-169.9187,80.49,83,75,9.22
11,Hilo,US,2021-07-23 00:34:51,19.7297,-155.09,80.33,83,90,19.57
12,Gunnedah,AU,2021-07-23 00:34:52,-30.9833,150.25,58.62,63,100,12.17
13,Camacha,PT,2021-07-23 00:34:53,33.0833,-16.3333,69.53,88,20,13.8
14,Tuktoyaktuk,CA,2021-07-23 00:33:52,69.4541,-133.0374,51.8,93,90,16.11
15,Champerico,GT,2021-07-23 00:34:54,14.3,-91.9167,83.05,80,92,7.31
16,Pevek,RU,2021-07-23 00:34:55,69.7008,170.3133,42.26,69,5,7.02
17,Fairbanks,US,2021-07-23 00:34:56,64.8378,-147.7164,80.6,41,1,6.91
18,Kununurra,AU,2021-07-23 00:34:57,-15.7667,128.7333,71.58,53,100,2.3
19,Kapaa,US,2021-07-23 00:34:58,22.0752,-159.319,87.78,78,75,4.0
20,Atuona,PF,2021-07-23 00:34:59,-9.8,-139.0333,77.47,72,96,10.25
21,Punta Arenas,CL,2021-07-23 00:33:15,-53.15,-70.9167,35.71,87,40,9.22
22,Melton,AU,2021-07-23 00:35:00,-37.6833,144.5833,48.65,92,100,5.79
23,Sant,RO,2021-07-23 00:35:01,47.45,24.9,53.46,92,35,4.34
24,Krasnoborsk,RU,2021-07-23 00:35:06,61.5598,45.934,53.67,71,100,3.96
25,Afua,BR,2021-07-23 00:35:06,-0.1567,-50.3867,75.24,92,80,5.84
26,Mar Del Plata,AR,2021-07-23 00:35:07,-38.0023,-57.5575,57.13,60,0,8.99
27,Dikson,RU,2021-07-23 00:35:09,73.5069,80.5464,38.5,96,99,15.99
28,Carnarvon,AU,2021-07-23 00:35:09,-24.8667,113.6333,59.07,75,99,5.75
29,Kodiak,US,2021-07-23 00:35:11,57.79,-152.4072,52.32,98,100,16.11
30,Cape Town,ZA,2021-07-23 00:33:36,-33.9258,18.4232,45.12,82,0,1.99
31,Guerrero Negro,MX,2021-07-23 00:34:06,27.9769,-114.0611,75.33,68,100,13.85
32,Cherskiy,RU,2021-07-23 00:33:11,68.75,161.3,61.95,68,100,0.98
33,Izvoarele,RO,2021-07-23 00:35:15,45.0333,25.2667,68.05,71,83,4.29
34,Severo-Kurilsk,RU,2021-07-23 00:34:14,50.6789,156.125,56.17,85,62,5.48
